name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
Unilend V2,1736640000,197600,Ethereum,Protocol Logic,Redeem Process Exploit,accounting_error,protocol_logic,direct_drain,medium,Redeem flow accounting bug allowed draining
MoonHacker,1735776000,300000,Optimism,Protocol Logic,Unchecked FlashLoan Approve Exploit,access_control,solidity_source,direct_drain,medium,Unchecked approve in flashloan callback indicates missing validation
Fegex,1735430400,900000,"Ethereum, BSC, Base",Protocol Logic,Missing Access Control,access_control,solidity_source,direct_drain,high,Explicit missing access control
Vestra DAO,1733270400,500000,Ethereum,Protocol Logic,Staking Logic Exploit,accounting_error,protocol_logic,direct_drain,low,Staking logic bug, exact mechanism unclear
DeltaPrime,1731283200,4800000,"Arbitrum, Avalanche",Protocol Logic,Debt Swap Exploit,accounting_error,protocol_logic,direct_drain,medium,Debt-swap accounting flaw
Radiant V2,1729036800,53000000,"BSC, Arbitrum",Protocol Logic,Access Control Exploit,access_control,solidity_source,privilege_escalation,high,Multisig/admin compromise via access control
LeadBlock's Morpho Blue Market,1728864000,250000,Ethereum,Protocol Logic,Oracle Misconfiguration Exploit,oracle_manipulation,integration,direct_drain,high,Oracle misconfig in market params
Lava,1728000000,130000,Arbitrum,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Generic flashloan exploit, no oracle context
uniBTC,1727308800,1700000,Ethereum,Protocol Logic,Minting Logic Exploit,accounting_error,solidity_source,direct_drain,medium,Minting logic flaw allowed unauthorized mint
Onyx V2,1727308800,4000000,Ethereum,Protocol Logic,Liquidation Logic Exploit,liquidation_bug,protocol_logic,direct_drain,high,Liquidation logic bug
OcelotDex,1726790400,4900000,Ethereum,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Infinite mint typically unprotected mint function
WXETA,1726444800,110000,"Ethereum, BSC",Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
Penpie,1725321600,27000000,Ethereum,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Classic reentrancy on Pendle market registration
PolyNetwork,1723420800,5000000,PolyNetwork,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Nexera,1722988800,1800000,Ethereum,Protocol Logic,Ownership Override Attack,access_control,proxy_storage,privilege_escalation,medium,Ownership override suggests admin takeover
Ronin Bridge,1722902400,12000000,Ethereum,Protocol Logic,MEV bot manipulation exploit,other,protocol_logic,direct_drain,low,MEV-bot manipulation; not a clean fit in taxonomy
Convergence,1722470400,210000,Ethereum,Protocol Logic,Missing Input Validation,access_control,solidity_source,direct_drain,medium,Missing input validation enabling unauth action
DeltaPrime,1721692800,1000000,Arbitrum,Protocol Logic,,accounting_error,protocol_logic,direct_drain,low,No technique field; likely accounting per first DeltaPrime hack
Rho Markets,1721347200,7600000,Scroll,Protocol Logic,Price Oracle Manipulation,oracle_manipulation,integration,direct_drain,high,Oracle manipulation
LiFi Finance,1721088000,9730000,"zkSync Era, Linea, Metis",Protocol Logic,Router Exploit via Infinite Approvals,access_control,solidity_source,direct_drain,high,Router did not validate calldata; abused approvals
Minterest,1721001600,1400000,Mantle,Protocol Logic,Reentrancy,reentrancy,solidity_source,direct_drain,high,Reentrancy
Dough Finance,1720742400,1960000,Ethereum,Protocol Logic,Unvalidated call data exploit,access_control,solidity_source,direct_drain,medium,Unvalidated calldata in external call
OKX NFT Aggregator,1718841600,14000,BSC,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
Holograph,1718236800,6700000,Ethereum,Protocol Logic,Infinite Mint and Dump,access_control,solidity_source,direct_drain,medium,Infinite mint via missing access control
UwU Lend,1718236800,3700000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,integration,direct_drain,high,Flashloan-driven oracle manipulation
YOLO Games,1718064000,1500000,Blast,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Access control bug
