name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
TrustedVolumes,1778112000,6700000,Ethereum,Protocol Logic,Forged RFQ Orders,signature_replay,solidity_source,direct_drain,medium,Forged/replayed RFQ order signatures bypassing validation
SmartCredit,1777852800,72000,Ethereum,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Flashloan vector without specific oracle/accounting detail
Sharwa.Finance,1777593600,32850,Arbitrum,Protocol Logic,Oracle Price Manipulation,oracle_manipulation,protocol_logic,direct_drain,high,Direct oracle price manipulation
Wasabi Perps,1777507200,5500000,"Ethereum, Base, Berachain, Blast",Protocol Logic,Admin Key Compromised,access_control,solidity_source,privilege_escalation,low,Admin key compromise borderline excluded category but kept as access_control
Syndicate,1777420800,380000,Base,Protocol Logic,Commons Bridge Exploit,authz_bypass,integration,direct_drain,low,Bridge integration flaw bypassed authorization
Quant,1777334400,138000,Ethereum,Protocol Logic,Access Control Exploit,access_control,solidity_source,direct_drain,high,Explicit access control failure
JUDAO,1777334400,228000,BSC,Protocol Logic,Flashloan Exploit,flashloan_abuse,protocol_logic,direct_drain,low,Generic flashloan exploit no oracle specified
Singularity Finance,1777248000,413000,Base,Protocol Logic,Oracle Misconfiguration Exploit,oracle_manipulation,protocol_logic,direct_drain,high,Oracle misconfiguration exploited
ZetaChain,1777248000,300000,"Ethereum, Base, Polygon, Arbitrum, Avalanche, BSC",Protocol Logic,GatewayEVM Contracts Exploit,authz_bypass,integration,direct_drain,medium,Gateway/bridge contract authorization bypass
Purrlend,1777075200,1500000,"MegaETH, Hyperliquid L1",Protocol Logic,Fake Bridge Address,authz_bypass,integration,direct_drain,medium,Fake bridge sender/address bypassed validation
Giddy,1776902400,1300000,Ethereum,Protocol Logic,Incomplete EIP-712 Signature Coverage,signature_replay,solidity_source,direct_drain,high,EIP-712 signature missing fields enables replay/forge
Kipseli,1776816000,80000,Base,Protocol Logic,Flawed Quoting Logic,accounting_error,protocol_logic,direct_drain,medium,Flawed quote/pricing math
Thetanuts Finance,1776643200,50000,Ethereum,Protocol Logic,First Depositor Attack,precision_rounding,protocol_logic,dilution,high,Classic first depositor share inflation
Juicebox V3,1776643200,52000,Ethereum,Protocol Logic,borrowFrom Spoof Attack,authz_bypass,solidity_source,direct_drain,medium,Spoofed caller in borrowFrom
Rhea Lend,1776297600,18400000,Near,Protocol Logic,Fake Collateral Exploit,accounting_error,protocol_logic,direct_drain,medium,Fake collateral accepted by lending logic
MONA,1776038400,60950,BSC,Protocol Logic,BurnAddress Accounting Exploit,accounting_error,protocol_logic,direct_drain,high,Burn address accounting bug
Dango,1776038400,410000,Dango,Protocol Logic,Donate Negative Amounts Hack,accounting_error,protocol_logic,direct_drain,high,Negative donation amount underflow accounting
SubQuery Network,1775952000,60000,Base,Protocol Logic,Acces Control Exploit,access_control,solidity_source,direct_drain,high,Access control failure
Hyperbridge,1775952000,2500000,"Ethereum, Base, BSC, Arbitrum",Protocol Logic,Fake State Proof,authz_bypass,integration,direct_drain,medium,Fake state proof bypassed bridge verification
Aethir,1775692800,423000,BSC,Protocol Logic,Acces Control Exploit,access_control,solidity_source,direct_drain,high,Access control failure
BSC TMM/USDT,1775260800,1665000,BSC,Protocol Logic,Reserve Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,medium,Reserve/price manipulation in pool
Silo V2,1775174400,392000,Arbitrum,Protocol Logic,Misconfigured Oracle Exploit,oracle_manipulation,protocol_logic,direct_drain,high,Misconfigured oracle
LML/USDT staking protocol,1774915200,950000,BSC,Protocol Logic,Price Manipulation Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price manipulation
Cyrus Finance,1774137600,5000000,BSC,Protocol Logic,Flashloan Pool Shares Exploit,precision_rounding,protocol_logic,direct_drain,medium,Flashloan to manipulate share accounting
